file_token,filename,model_guess,reason
4oUEggIk9SU2Fj0S,Lines_default_minimal_strength_Ozone.xlsx,Lines default minimal strength Ozone,no_parsable_sizes
u6VdcO6rd8t3ucps,Ozone Line making technical detail.xlsx,Ozone making technical detail,no_parsable_sizes
TLb9gi45T8Hc9GQJ,inspection info Alpina3.xlsx,inspection info Alpina3,no_parsable_sizes
ixBz67wAki8fCabB,inspection info Alpina 4.xlsx,inspection info Alpina 4,no_parsable_sizes
akuJqF9Ojc1jbStU,inspection info Alpina 4.xlsx,inspection info Alpina 4,no_parsable_sizes
bdpMdybV3LejkLBm,Lines ALL Alpina5.xlsx,ALL Alpina5,no_parsable_sizes
7F6T0T6Nq6CB5pZt,inspection info_Alpina5.xlsx,inspection info Alpina5,no_parsable_sizes
gRAKEJ7FsSG1eTnp,inspection info Alta.xlsx,inspection info Alta,no_parsable_sizes
toZVUabMqd3mcZvv,inspection info Buzz Z4.xlsx,inspection info Buzz Z4,no_parsable_sizes
8DYujZQMd2l5WJfX,inspection info BuzzZ6.xlsx,inspection info BuzzZ6,no_parsable_sizes
o7joiWEkqHh6AGpc,inspection info_Buzz Z7.xlsx,inspection info Buzz Z7,no_parsable_sizes
g4J9JDaI4CuFPiwb,inspection info Delta3.xlsx,inspection info Delta3,no_parsable_sizes
Bkr1F6EzBlMY3Mkx,inspection info Delta 4.xlsx,inspection info Delta 4,no_parsable_sizes
Rqecya28RItj5bbm,Lines ALL Delta5.xlsx,ALL Delta5,no_parsable_sizes
oqgPqcmbZVLCfYsd,inspection info_Delta5.xlsx,inspection info Delta5,no_parsable_sizes
O24WcFYBssXaRDoH,inspection info DragonFly.xlsx,inspection info DragonFly,no_parsable_sizes
vgYyZFwsdjLbk3Yk,Enzo3 L CCC Line check.xlsx,Enzo3 L CCC check,no_parsable_sizes
9WsW8zPADFz25ITb,Enzo3 M CCC Line check.xlsx,Enzo3 M CCC check,no_parsable_sizes
CHB3Q5UtyJ3YPtxs,Enzo3 S CCC Line check.xlsx,Enzo3 S CCC check,no_parsable_sizes
MNorp8CYfclI8njO,Enzo3 XL CCC Line check.xlsx,Enzo3 XL CCC check,no_parsable_sizes
dJwuZhL2BHYTIHmb,Enzo3 XS CCC Line check.xlsx,Enzo3 XS CCC check,no_parsable_sizes
cKpZ3EQTpDqPzrcj,Enzo3 XXS CCC Line check.xlsx,Enzo3 XXS CCC check,no_parsable_sizes
ybGtZIglvdDviVNB,inspection info_Enzo3.xlsx,inspection info Enzo3,no_parsable_sizes
SEl6FdW93ZD8sFBx,line details Enzo3L.xlsx,details Enzo3L,no_parsable_sizes
Jv4RlTjnMpMWgMKV,line details Enzo3M.xlsx,details Enzo3M,no_parsable_sizes
9LfG6yn9eR2F7qJk,line details Enzo3S.xlsx,details Enzo3S,no_parsable_sizes
HSAJUlKhYrok8Nov,line details Enzo3XL.xlsx,details Enzo3XL,no_parsable_sizes
ibgENnxV3FKinq7o,line details Enzo3XS.xlsx,details Enzo3XS,no_parsable_sizes
YOat3viHdCZmlGDd,line details Enzo3XXS.xlsx,details Enzo3XXS,no_parsable_sizes
Tl8oeYrptdtBO024,inspection info Freeride.xlsx,inspection info Freeride,no_parsable_sizes
8VRdlGq6oYbB2RI3,inspection info Freeride 2 SH.xlsx,inspection info Freeride 2 SH,no_parsable_sizes
Yagk6F8t3HkMXcg7,inspection info Freeride 2 UNSH.xlsx,inspection info Freeride 2 UNSH,no_parsable_sizes
CQcYyfvjTbA40K5i,inspection info Geo4.xlsx,inspection info Geo4,no_parsable_sizes
zDVFhtsKW3gdfaNB,inspection info Geo6.xlsx,inspection info Geo6,no_parsable_sizes
VuK0M7tx2nYEZevH,inspection info_Geo7.xlsx,inspection info Geo7,no_parsable_sizes
3CEgcanxiuP4kjXf,inspection info Jomo2.xlsx,inspection info Jomo2,no_parsable_sizes
FXxr1G0njR3n2A3q,inspection info Kona2.xlsx,inspection info Kona2,no_parsable_sizes
5j878oshljVmwg76,inspection info Kona 3.xlsx,inspection info Kona 3,no_parsable_sizes
l7RULEdHndr1gh94,LM7 - lines.xlsx,LM7 -,no_parsable_sizes
5noibobClGWKnSdX,Litespeed_3_Line_Chart.xlsx,Litespeed 3 Line Chart,no_parsable_sizes
hRgAHmhWVrtTGbyn,inspection info_Lyght.xlsx,inspection info Lyght,no_parsable_sizes
YPu1rWcj6Bx3yuH2,MagMax3 - lines.xlsx,MagMax3 -,no_parsable_sizes
S4Xqnsp71eoXJy03,inspection info MagMax3.xlsx,inspection info MagMax3,no_parsable_sizes
fDNnFnTWpfPRrXQo,MagMaXX - lines.xlsx,MagMaXX -,no_parsable_sizes
IdRLh5w9v2ARVX9N,inspection info MagMaXX.xlsx,inspection info MagMaXX,no_parsable_sizes
BbJSH8s7o6Fnohfz,inspection info Magnum 3.xlsx,inspection info Magnum 3,no_parsable_sizes
xWlwTjTXylhnmuFg,Magnum4 - lines.xlsx,Magnum4 -,no_parsable_sizes
fD1I8dBEdBqoiWXU,inspection info Magnum4_41.xlsx,inspection info Magnum4 41,no_parsable_sizes
u6wDK5pilGRKvowt,Mantra M7 - lines.xlsx,Mantra M7 -,no_parsable_sizes
