file_token,filename,model_guess,parse_mode,sizes,export_xlsx,rigging_pdf_dir,rigging_manifest
sjyrp49sX7TRQeZE,Alpina3 - lines.xlsx,Alpina3 -,fallback,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Alpina3 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
Y9jdV9bpOk0Jdx5n,Alpina 4 Lines_maj.xlsx,Alpina 4 Lines,anchor,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Alpina 4 Lines_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
K4hr4a5eJpsdm2NY,Alpina 4 Lines_maj.xlsx,Alpina 4 Lines,anchor,"XS,S,MS,ML,L",ozone_bulk\_exports\Ozone_Alpina 4 Lines_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
7RuyUy4M0LkfH2RW,Alta Line Chart.xlsx,Alta Chart,fallback,"XXS,XS,S,M,L,XL",ozone_bulk\_exports\Ozone_Alta Chart_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
upCxOhzejAPFkpBP,Arc_Line_Chart_-_10m.xlsx,Arc Line Chart - 10m,fallback,"Line check,Line mods",ozone_bulk\_exports\Ozone_Arc Line Chart - 10m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
Q1OH8s6kan3L0vMx,Arc_Line_Chart_-_12m.xlsx,Arc Line Chart - 12m,fallback,"Line check,Line mods",ozone_bulk\_exports\Ozone_Arc Line Chart - 12m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
6iyyiHOw1cS3JZAY,Arc_Line_Chart_-_14m.xlsx,Arc Line Chart - 14m,fallback,"Line check,Line mods",ozone_bulk\_exports\Ozone_Arc Line Chart - 14m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
Sbks2UaPaEytZNmP,Arc_Line_Chart_-_8m.xlsx,Arc Line Chart - 8m,fallback,"Line check,Line mods",ozone_bulk\_exports\Ozone_Arc Line Chart - 8m_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
vnsA5CwzUKXSkPbf,Buzz Z5 - lines.xlsx,Buzz Z5 -,fallback,"Z5_XS,Z5_S,Z5_MS,Z5_ML,Z5_L,Z5 XL",ozone_bulk\_exports\Ozone_Buzz Z5 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
QWvbdKA5UBkrPam8,Buzz Z6 lines.xlsx,Buzz Z6,fallback,"MS,ML,L,XL",ozone_bulk\_exports\Ozone_Buzz Z6_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
HEk5wOQMalrUTRYy,Buzz Z7 - lines.xlsx,Buzz Z7 -,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Buzz Z7 -_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
grHn7UOvWIopRT6l,Delta 3 lines.xlsx,Delta 3,fallback,"XS,S,MS,ML,L,XL",ozone_bulk\_exports\Ozone_Delta 3_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
rKTi1HvJSzAP8dV8,Delta4 Line check Analysis.xlsx,Delta4 check Analysis,fallback,"Delta4 measurement analysis,Manual Value XS,Manual value S,Manual Value MS,Manual Value ML,Manual Value L,Manual Value XL",ozone_bulk\_exports\Ozone_Delta4 check Analysis_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
xd8lLb5WHZGZWSO3,LINES ALL Delta 4.xlsx,ALL Delta 4,anchor,"D4 XS,D4 S,D4 MS,D4 ML,D4 L,D4 XL",ozone_bulk\_exports\Ozone_ALL Delta 4_WIDE.xlsx,ozone_bulk\_rigging_pdfs,ozone_bulk\_exports\rigging_manifest.json
